,places_name,road_address_name,lat,lng,distance,category_group_name
114,CU 여의도KBS점,서울 영등포구 여의공원로 13,126.916380391574,37.5253631875656,207,편의점
115,GS25 청담사거리점,서울 강남구 도산대로 510,127.048902004442,37.5239518736695,283,편의점
116,GS25 청담칼릭스점,서울 강남구 도산대로89길 12,127.0507932344315,37.5252773508053,162,편의점
117,CU 청담강변점,서울 강남구 압구정로79길 25,127.049151791346,37.5253393134778,129,편의점
118,CU 청담영동점,서울 강남구 도산대로101길 3,127.052640627831,37.5253017699133,291,편의점
119,세븐일레븐 청담그린점,서울 강남구 도산대로81길 39,127.046659309366,37.526713451624,267,편의점
120,CU 청담엘점,서울 강남구 도산대로85길 45,127.04976645243757,37.52760958108642,131,편의점
121,CU 청담현대점,서울 강남구 도산대로101길 29,127.05237928457,37.5268939567062,245,편의점
122,세븐일레븐 청담대우점,서울 강남구 도산대로99길 26,127.051243110756,37.5263871910357,139,편의점
123,GS25 R서울강남4점,서울 강남구 도산대로 529,127.051301049572,37.5250897228652,207,편의점
124,GS25 당산공원점,서울 영등포구 양산로19길 11,126.894944913936,37.5253712938625,85,편의점
125,이마트24 영등포구청점,서울 영등포구 당산로31길 13,126.895205671303,37.5265860758926,110,편의점
126,CU 영등포제일점,서울 영등포구 당산로 114,126.89660643467,37.5247889108709,242,편의점
127,CU 당산그린점,서울 영등포구 선유동1로 50,126.89362549841414,37.526410769899954,78,편의점
128,세븐일레븐 영등포구청본점,서울 영등포구 당산로 128,126.89694422381,37.5259460924962,236,편의점
129,CU 영등포구청점,서울 영등포구 당산로 109,126.89602291023576,37.52463703026368,210,편의점
130,CU 영등포태광점,서울 영등포구 선유동1로 28,126.892149668036,37.5244857925375,246,편의점
131,세븐일레븐 당산스타일점,서울 영등포구 국회대로28길 13-1,126.894426151485,37.5274287191411,167,편의점
132,세븐일레븐 당산2호점,서울 영등포구 당산로 104,126.89640412199,37.5238372754492,298,편의점
133,GS25 영등포리드점,서울 영등포구 양산로 96,126.893403230047,37.5244013354065,185,편의점
134,GS25 양평역길점,서울 영등포구 선유서로 89,126.885675266952,37.5238562095197,294,편의점
135,세븐일레븐 영등포중흥점,서울 영등포구 선유서로24길 6,126.886105548887,37.5235899286376,293,편의점
136,GS25 양평코업점,서울 영등포구 양산로 7,126.88395687526,37.5260565821194,71,편의점
137,GS25 양평동아점,서울 영등포구 영등포로5길 19,126.88436062473755,37.52393601983667,228,편의점
138,CU 오목교코업점,서울 영등포구 영등포로3길 23,126.88312021199832,37.5257422085104,10,편의점
