,Unnamed: 0,자치구명,법정동코드,법정동명,지번주소,건물명,층,임대건물명,임대면적,전월세구분,보증금,임대료,건축년도,연식,latitude,longitude,conv_num,in_din_total_300,in_mart_total_1000,in_subway_total_500,in_hosp_total_1000,in_cafe_total_300,police_500,center_500,in_din_total_50,in_subway_total_50,all_score_life,nois_total
783,783,영등포구,11400,당산동4가,서울특별시 영등포구 당산동4가 1-2,코오롱 스타폴리스,4,오피스텔,34.88,전세,18500,0,2005.0,17,37.5273668672795,126.902880622179,8,85,6,0,172,35,5,0,5,0,43.66,24
784,784,영등포구,10300,영등포동2가,서울특별시 영등포구 영등포동2가 28-153,오스본 오피스텔,4,오피스텔,23.52,전세,11300,0,2005.0,17,37.5219168041206,126.910058645113,6,80,5,1,127,11,3,1,2,0,64.29,27
785,785,영등포구,10400,영등포동3가,서울특별시 영등포구 영등포동3가 7,영등포 점프밀라노,11,오피스텔,37.05,준월세,2000,60,2005.0,17,37.5190798122731,126.905551002833,22,499,5,2,147,67,2,1,11,0,90.03999999999999,66
786,786,강남구,10500,삼성동,서울특별시 강남구 삼성동 39,해피하우스3,3,다세대/연립,38.23,월세,1000,94,2005.0,17,37.5127367674599,127.04470434352,11,105,5,2,295,42,1,1,1,0,70.64,42
787,787,강남구,10100,역삼동,서울특별시 강남구 역삼동 637-26,에이스빌,3,다세대/연립,26.22,월세,300,78,2005.0,17,37.5015685215736,127.03265497152,15,276,5,1,764,77,0,0,9,0,68.26,51
788,788,관악구,10100,봉천동,서울특별시 관악구 봉천동 1718-1,벽산블루밍(임대),18,아파트,32.92,준전세,2884,6,2005.0,17,37.4918030419904,126.942704884754,1,5,4,0,67,2,0,0,0,0,24.85,12
789,789,관악구,10100,봉천동,서울특별시 관악구 봉천동 1718-1,벽산블루밍(임대),21,아파트,32.92,전세,4002,0,2005.0,17,37.4918030419904,126.942704884754,1,5,4,0,67,2,0,0,0,0,24.85,12
790,790,서초구,10800,서초동,서울특별시 서초구 서초동 1338-25,신명스카이뷰멤버스,11,오피스텔,28.18,준월세,1000,70,2005.0,17,37.4905898377752,127.029605635633,20,211,7,0,440,65,2,1,5,0,58.69,24
791,791,서초구,10800,서초동,서울특별시 서초구 서초동 1338-25,신명스카이뷰멤버스,6,오피스텔,23.52,전세,17000,0,2005.0,17,37.4905898377752,127.029605635633,20,211,7,0,440,65,2,1,5,0,58.69,24
792,792,관악구,10100,봉천동,서울특별시 관악구 봉천동 1718,벽산블루밍,11,아파트,59.99,준전세,20000,80,2005.0,17,37.4892878706206,126.944767004216,5,32,4,0,90,11,1,3,0,0,42.45,12
793,793,관악구,10200,신림동,서울특별시 관악구 신림동 1429-51,칸타빌레 오피스텔,2,오피스텔,13.5,전세,7500,0,2005.0,17,37.4884737631681,126.927364318318,15,340,1,0,137,63,1,2,0,0,63.269999999999996,12
794,794,서초구,10100,방배동,서울특별시 서초구 방배동 929-27,엘리자빌,4,다세대/연립,20.25,준월세,1000,42,2005.0,17,37.4837849440339,126.992696894117,7,104,4,1,163,35,1,1,0,0,69.38,27
795,795,서초구,10100,방배동,서울특별시 서초구 방배동 919-1,지호빌딩,5,다세대/연립,65.6,전세,18900,0,2005.0,17,37.4827547972877,126.992325806507,5,59,3,1,165,28,1,1,1,0,66.44,27
796,796,관악구,10100,봉천동,서울특별시 관악구 봉천동 861-7,CO-OP RESIDENCE/서울대입구,13,오피스텔,26.67,준월세,1000,70,2005.0,17,37.4818887916789,126.952208106801,24,387,4,1,221,54,0,2,8,0,73.5,51
797,797,관악구,10100,봉천동,서울특별시 관악구 봉천동 861-7,CO-OP RESIDENCE/서울대입구,5,오피스텔,17.19,준월세,1000,45,2005.0,17,37.4818887916789,126.952208106801,24,387,4,1,221,54,0,2,8,0,73.5,51
